Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,5/7/2017 10:15,109998919,4,3,525,0,520,0,131.25,259.1773846,0,0,0,0,4.772774176,0.063636989,1.83E+07,4.49E+07,1.10E+08,79,1.10E+08,3.67E+07,6.35E+07,1.10E+08,1460,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5585,0,0,0,0,136,104,0.036363994,0.027272995,0,520,65.625,183.6035617,33710.26786,0,0,0,1,0,0,0,0,0,75,131.25,0,0,0,0,0,0,0,4,525,3,0,29200,235,2,32,5735,0,5735,5735,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
22,6,4/7/2017 3:10,11534354,21,31,2008,2745,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,412.0733593,4.508271551,226163.8039,606129.4736,2460997,3,9027671,451383.55,789681.5638,2207704,413,1.15E+07,384477.4,755527.9108,2460997,3,0,0,0,0,680,1000,1.820648126,2.687623425,0,976,89.67924528,191.0076291,36483.91437,0,0,0,1,0,0,0,0,1,91.40384615,95.61904762,88.5483871,0,0,0,0,0,0,21,2008,31,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
21,6,4/7/2017 10:19,245,2,1,14,0,14,0,7,9.899494937,0,0,0,0,57142.85714,12244.89796,122.5,12.02081528,131,114,245,245,0,245,245,0,0,0,0,0,1,0,0,0,64,20,8163.265306,4081.632653,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
80,6,6/7/2017 9:21,5587532,3,1,0,0,0,0,0,0,0,0,0,0,0,0.715879569,1862510.667,3225354.297,5586829,119,5587532,2793766,3949987.575,5586829,703,0,0,0,0,0,0,0,0,0,104,40,0.536909677,0.178969892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack
88,6,3/7/2017 8:56,973,9,6,3112,3012,1541,0,345.7777778,677.6320495,1500,0,502,773.0521328,6293936.28,15416.23844,69.5,190.5820033,727,1,973,121.625,294.1277359,843,1,893,178.6,309.7132545,727,3,0,0,0,0,204,144,9249.743063,6166.495375,0,1541,382.75,678.5107712,460376.8667,0,0,0,1,0,0,0,0,0,408.2666667,345.7777778,502,0,0,0,0,0,0,9,3112,6,3012,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
80,6,6/7/2017 10:15,3607613,3,1,0,0,0,0,0,0,0,0,0,0,0,1.108766378,1202537.667,2082261.387,3606926,140,3607613,1803806.5,2549996.051,3606926,687,0,0,0,0,0,0,0,0,0,104,40,0.831574784,0.277191595,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack
80,17,21/2/2018 10:09,119999824,143351,0,4587232,0,32,32,32,0,0,0,0,0,38226.9894,1194.593419,837.110736,17695.55242,729063,0,120000000,837.110736,17695.55242,729063,0,0,0,0,0,0,0,0,0,0,1146808,0,1194.593419,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.00022323,32,0,0,0,0,0,0,0,143351,4587232,0,0,-1,-1,143350,8,0,0,0,0,0,0,0,0,DDoS
21,6,14/2/2018 10:33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1000000,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,FTP-Patator
80,6,5/7/2017 9:48,508471,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.3031953,11.80008299,101694.2,226897.8297,507581,37,508471,169490.3333,292836.0617,507628,37,842,842,0,842,842,0,0,0,0,136,72,7.866721996,3.933360998,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
8080,6,2/3/2018 10:17,10836,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,41989.66408,645.994832,1806,4008.573063,9980,0,502,251,277.1858582,447,55,10407,3469,5642.731874,9980,0,0,0,0,0,72,92,276.854928,369.139904,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,Bot
80,6,5/7/2017 9:48,549658,4,2,231,0,231,0,57.75,115.5,0,0,0,0,420.2613261,10.9158786,109931.6,245500.4421,549096,4,549658,183219.3333,316912.277,549158,4,546,546,0,546,546,0,0,0,0,136,72,7.277252401,3.6386262,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
22,6,4/7/2017 3:10,60,1,1,0,0,0,0,0,0,0,0,0,0,0,33333.33333,60,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16666.66667,16666.66667,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,6,5/7/2017 9:48,514898,4,2,231,0,231,0,57.75,115.5,0,0,0,0,448.6325447,11.65279337,102979.6,229308.8185,513179,18,514898,171632.6667,295833.7622,513232,642,1701,1701,0,1701,1701,0,0,0,0,136,72,7.768528913,3.884264456,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
52384,6,28/2/2018 10:50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,176,-1,0,20,0,0,0,0,0,0,0,0,Infilteration
22,6,14/2/2018 2:01,381373,22,20,1944,2665,640,0,88.36363636,137.8690011,976,0,133.25,268.7712537,12085.28134,110.1284045,9301.780488,22243.35045,104226,5,381003,18143,29382.66156,104226,183,381365,20071.84211,41726.57468,143983,11,0,0,0,0,712,648,57.68630711,52.44209737,0,976,107.1860465,207.2815265,42965.63123,0,0,0,1,0,0,0,0,0,109.7380952,88.36363636,133.25,0,0,0,0,0,0,22,1944,20,2665,26883,230,16,32,0,0,0,0,0,0,0,0,SSH-Patator
21,6,14/2/2018 10:33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1000000,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,FTP-Patator
80,6,15/2/2018 9:27,5981492,4,4,677,972,677,0,169.25,338.5,972,0,243,486,275.6837257,1.337458948,854498.8571,1864501.92,5001893,4,979599,326533,561787.0117,975225,273,5981488,1993829.333,2650135.826,5002205,4382,0,0,0,0,136,136,0.668729474,0.668729474,0,972,183.2222222,370.9749917,137622.4444,0,0,0,1,0,0,0,0,1,206.125,169.25,243,0,0,0,0,0,0,4,677,4,972,26883,221,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,5/7/2017 9:48,17065472,4,3,239,0,231,0,59.75,114.2289368,0,0,0,0,14.00488659,0.410184963,2844245.333,6966508.376,1.71E+07,49,1.71E+07,5688472.333,9852037.213,1.71E+07,49,1.71E+07,8532704,1.21E+07,1.71E+07,782,0,0,0,0,136,104,0.234391407,0.175793556,0,231,29.875,81.31497402,6612.125,0,0,0,1,0,0,0,0,0,34.14285714,59.75,0,0,0,0,0,0,0,4,239,3,0,29200,235,2,32,846,0,846,846,1.71E+07,0,1.71E+07,1.71E+07,DoS slowloris
22,6,14/2/2018 2:01,320753,22,22,1928,2665,640,0,87.63636364,137.780552,976,0,121.1363636,258.6415603,14319.42959,137.1772049,7459.372093,16442.80436,61573,6,320628,15268,23531.12304,66364,284,320742,15273.42857,29390.25363,92392,8,0,0,0,0,712,712,68.58860244,68.58860244,0,976,102.0666667,203.7409675,41510.38182,0,0,0,1,0,0,0,0,1,104.3863636,87.63636364,121.1363636,0,0,0,0,0,0,22,1928,22,2665,26883,230,16,32,0,0,0,0,0,0,0,0,SSH-Patator
444,6,6/7/2017 2:30,119973135,4376,4374,2321478,26244,1273,6,530.5022852,262.7688148,6,6,6,0,19568.73095,72.93299454,13712.7826,20459.26463,1163091,1,1.20E+08,27422.43086,23472.11964,1196394,95,1.20E+08,27431.07249,22575.23889,1163557,527,0,0,0,0,87520,87480,36.47483247,36.45816207,6,1273,268.2811107,321.4144458,103307.246,0,0,0,0,1,0,0,0,0,268.3117714,530.5022852,6,0,0,0,0,0,0,4376,2321478,4374,26244,3294,3294,4375,20,0,0,0,0,0,0,0,0,Infiltration
22,6,4/7/2017 3:10,110,1,1,0,0,0,0,0,0,0,0,0,0,0,18181.81818,110,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9090.909091,9090.909091,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,6,15/2/2018 9:27,5999806,4,4,378,972,378,0,94.5,189,972,0,243,486,225.0072752,1.333376446,857115.1429,1864179.95,5000417,7,999389,333129.6667,573178.0644,994975,294,5999799,1999933,2645510.591,5000729,4415,0,0,0,0,136,136,0.666688223,0.666688223,0,972,150,332.634935,110646,0,0,0,1,0,0,0,0,1,168.75,94.5,243,0,0,0,0,0,0,4,378,4,972,26883,219,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,5/7/2017 9:48,541334,4,2,231,0,231,0,57.75,115.5,0,0,0,0,426.7236124,11.08373019,108266.8,241754.9152,540731,18,541334,180444.6667,312088.2248,540813,19,585,585,0,585,585,0,0,0,0,136,72,7.389153462,3.694576731,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
21,6,4/7/2017 10:19,8591758,9,15,105,188,24,0,11.66666667,9.38083152,34,0,12.53333333,14.54975045,34.10245028,2.793374767,373554.6957,969067.8672,3110077,3,5437907,679738.375,1252347.969,2741835,48,8591612,613686.5714,1196056.369,3110077,3,0,0,0,0,296,488,1.047515538,1.745859229,0,34,11.72,12.60793401,158.96,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
53,17,3/7/2017 9:02,60812,1,1,56,131,56,56,56,0,131,131,131,0,3075.050977,32.88824574,60812,0,60812,60812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,16.44412287,16.44412287,56,131,81,43.30127019,1875,0,0,0,0,0,0,0,0,1,121.5,56,131,0,0,0,0,0,0,1,56,1,131,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,6,15/2/2018 9:27,5034838,4,4,500,972,500,0,125,250,972,0,243,486,292.362932,1.588928978,719262.5714,1888380.483,5001643,10,33195,11065,15385.08703,28688,311,5034812,1678270.667,2878412.045,5001946,4491,0,0,0,0,136,136,0.794464489,0.794464489,0,972,163.5555556,345.3314028,119253.7778,0,0,0,1,0,0,0,0,1,184,125,243,0,0,0,0,0,0,4,500,4,972,26883,219,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,5/7/2017 11:10,10612452,5,4,499,3525,499,0,99.8,223.1595842,3525,0,881.25,1762.5,379.1772156,0.848060373,1326556.5,2459974.26,5610744,37,5616668,1404167,2807686.021,5615696,55,1.06E+07,3537455.667,3077962.944,5610744,819,0,0,0,0,168,136,0.471144652,0.376915721,0,3525,402.4,1108.320471,1228374.267,0,0,0,1,0,0,0,0,0,447.1111111,99.8,881.25,0,0,0,0,0,0,5,499,4,3525,29200,235,1,32,904,0,904,904,5610744,0,5610744,5610744,DoS GoldenEye
443,6,28/2/2018 10:54,227,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0,0,136563.8767,13215.85903,113.5,95.45941546,181,46,227,113.5,95.45941546,181,46,0,0,0,0,0,0,0,0,0,60,0,13215.85903,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0,0,0,0,0,0,0,3,31,0,0,258,-1,1,20,0,0,0,0,0,0,0,0,Infilteration
80,6,5/7/2017 9:48,561865,4,2,231,0,231,0,57.75,115.5,0,0,0,0,411.1307876,10.67872176,112373,246227.3723,552804,116,561865,187288.3333,316660.6701,552920,1457,8934,8934,0,8934,8934,0,0,0,0,136,72,7.119147838,3.559573919,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,6,23/2/2018 10:13,5008319,4,4,646,364,646,0,161.5,323,364,0,91,182,201.6644707,1.597342342,715474.1429,1866783.686,4948678,18,59641,19880.33333,33551.46632,58622,394,5008292,1669430.667,2888838.519,5005174,1010,0,0,0,0,92,92,0.798671171,0.798671171,0,646,112.2222222,233.5774913,54558.44444,0,0,1,1,0,0,0,1,1,126.25,161.5,91,0,0,0,0,0,0,4,646,4,364,8192,221,1,20,0,0,0,0,0,0,0,0,Web Attack
444,6,7/7/2017 1:56,87,1,1,2,6,2,2,2,0,6,6,6,0,91954.02299,22988.50575,87,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,11494.25287,11494.25287,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
80,6,23/2/2018 10:15,2052,2,0,0,0,0,0,0,0,0,0,0,0,0,974.6588694,2052,0,2052,2052,2052,2052,0,2052,2052,0,0,0,0,0,0,0,0,0,40,0,974.6588694,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Web Attack
21,6,14/2/2018 10:33,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,FTP-Patator
80,6,23/2/2018 10:19,305,2,0,0,0,0,0,0,0,0,0,0,0,0,6557.377049,305,0,305,305,305,305,0,305,305,0,0,0,0,0,0,0,0,0,40,0,6557.377049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Web Attack
80,6,28/2/2018 10:52,208,2,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615,208,0,208,208,208,208,0,208,208,0,0,0,0,0,0,0,0,0,40,0,9615.384615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0,0,0,0,0,0,0,0,Infilteration
80,6,23/2/2018 10:15,56200401,153,104,54995,72486,646,0,359.4444444,271.4171844,1068,0,696.9807692,368.2233119,2268.329011,4.572921108,219532.8164,412925.8061,1093109,7,56198767,369728.7303,481786.4363,1093109,301,56200394,545634.8932,555180.7148,1151212,37,0,0,0,0,3072,2092,2.722400504,1.850520604,0,1068,494.1124031,355.4034576,126311.6177,0,0,1,1,0,0,0,1,0,496.0350195,359.4444444,696.9807692,0,0,0,0,0,0,153,54995,104,72486,8192,1228,101,20,0,0,0,0,0,0,0,0,Web Attack
22,6,4/7/2017 3:10,75,1,1,0,0,0,0,0,0,0,0,0,0,0,26666.66667,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13333.33333,13333.33333,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,6,5/7/2017 9:48,509955,4,2,231,0,231,0,57.75,115.5,0,0,0,0,452.9811454,11.76574404,101991,227585.4517,509108,68,509955,169985,293753.3916,509182,68,775,775,0,775,775,0,0,0,0,136,72,7.843829357,3.921914679,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
443,6,7/7/2017 1:55,71,1,1,2,6,2,2,2,0,6,6,6,0,112676.0563,28169.01408,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,14084.50704,14084.50704,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
80,17,21/2/2018 10:09,119816440,122444,0,3918208,0,32,32,32,0,0,0,0,0,32701.75612,1021.929879,978.5487125,19822.78901,647965,0,120000000,978.5487125,19822.78901,647965,0,0,0,0,0,0,0,0,0,0,979552,0,1021.929879,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.00026134,32,0,0,0,0,0,0,0,122444,3918208,0,0,-1,-1,122443,8,0,0,0,0,0,0,0,0,DDoS
80,6,15/2/2018 9:27,6000007,4,4,411,662,411,0,102.75,205.5,662,0,165.5,331,178.8331247,1.333331778,857143.8571,1865744.957,5003978,7,996029,332009.6667,574064.3434,994882,304,6000000,2000000,2648801.412,5004318,1148,0,0,0,0,136,136,0.666665889,0.666665889,0,662,119.2222222,244.754866,59904.94444,0,0,0,1,0,0,0,0,1,134.125,102.75,165.5,0,0,0,0,0,0,4,411,4,662,26883,219,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,5/7/2017 11:10,16582244,10,5,389,11632,389,0,38.9,123.012601,10136,0,2326.4,4413.497117,724.9320418,0.904582034,1184446,3274372.459,1.16E+07,0,1.16E+07,1287105.667,3860716.266,1.16E+07,0,1.66E+07,4145549.5,5487135.257,1.16E+07,60,0,0,0,0,328,168,0.603054689,0.301527345,0,10136,751.3125,2531.090746,6406420.363,0,0,0,1,0,0,0,0,0,801.4,38.9,2326.4,0,0,0,0,0,0,10,389,5,11632,29200,235,1,32,1651,0,1651,1651,1.16E+07,0,1.16E+07,1.16E+07,DoS GoldenEye
22,6,4/7/2017 3:10,11097485,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,428.2952399,4.775856872,213413.1731,569264.6017,1964174,3,9541660,477083,830600.2047,2007679,427,1.11E+07,357980.4516,705357.9759,1964174,3,0,0,0,0,680,1032,1.892320647,2.883536225,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
80,6,5/7/2017 11:10,11995832,8,5,329,11632,329,0,41.125,116.3190655,7288,0,2326.4,3351.290617,997.0963248,1.083709742,999652.6667,2371890.394,6988707,25,6992419,998917,2641545.922,6989380,239,1.20E+07,2998931.75,3555141.685,6988707,127,0,0,0,0,264,168,0.666898303,0.416811439,0,7288,854.3571429,2181.646436,4759581.17,0,0,0,1,0,0,0,0,0,920.0769231,41.125,2326.4,0,0,0,0,0,0,8,329,5,11632,29200,235,1,32,2057,0,2057,2057,6988707,0,6988707,6988707,DoS GoldenEye
